date;followers;following;fans
2013-11-03;1101;91;1010
2013-11-05;1129;108;1021
2013-11-07;1146;110;1036
2013-11-09;1179;109;1070
2013-11-11;1207;112;1095
2013-11-13;1229;112;1117
2013-11-15;1255;106;1149
2013-11-17;1273;106;1167
2013-11-19;1293;106;1187
2013-11-21;1318;106;1212
2013-11-23;1343;106;1237
2013-11-25;1378;106;1272
2013-11-27;1391;106;1285
2013-11-29;1409;106;1303
2013-12-01;1424;106;1318
2013-12-03;1427;106;1321
2013-12-05;1443;106;1337
2013-12-07;1452;106;1346
2013-12-09;1492;106;1386
2013-12-11;1510;105;1405
2013-12-13;1532;105;1427
2013-12-15;1563;105;1458
2013-12-17;1583;107;1476
2013-12-19;1608;107;1501
2013-12-21;1634;107;1527
2013-12-23;1656;107;1549
2013-12-25;1686;108;1578
2013-12-27;1709;108;1601
2013-12-29;1747;108;1639
2013-12-31;1790;96;1694
2014-01-02;1824;96;1728
2014-01-04;1865;96;1769
2014-01-06;1922;96;1826
2014-01-08;1969;96;1873
2014-01-10;2013;97;1916
2014-01-12;2045;97;1948
2014-01-14;2085;98;1987
2014-01-16;2117;98;2019
2014-01-18;2144;98;2046
2014-01-20;2214;98;2116
2014-01-22;2266;99;2167
2014-01-24;2290;99;2191
2014-01-26;2330;99;2231
2014-01-28;2371;99;2272
2014-01-30;2410;99;2311
2014-02-01;2434;99;2335
2014-02-03;2456;99;2357
2014-02-05;2502;100;2402
2014-02-07;2554;100;2454
2014-02-09;2586;102;2484
2014-02-11;2623;103;2520
2014-02-12;2634;103;2531
2014-02-13;2655;103;2552
2014-02-15;2670;103;2567
2014-02-16;2700;103;2597
2014-02-17;2748;103;2645
2014-02-19;2783;103;2680
2014-02-20;2809;103;2706
2014-02-21;2816;103;2713
2014-02-23;2838;104;2734
2014-02-24;2856;104;2752
2014-02-25;2868;104;2764
2014-02-26;2900;104;2796
2014-02-28;2928;105;2823
2014-03-01;2939;106;2833
2014-03-03;2983;105;2878
2014-03-04;2990;106;2884
2014-03-05;3018;107;2911
2014-03-06;3056;107;2949
2014-03-08;3076;107;2969
2014-03-09;3087;107;2980
2014-03-11;3126;107;3019
2014-03-12;3151;107;3044
2014-03-13;3179;107;3072
2014-03-15;3210;107;3103
2014-03-16;3245;107;3138
2014-03-17;3276;107;3169
2014-03-19;3303;107;3196
2014-03-20;3312;107;3205
2014-03-21;3339;107;3232
2014-03-23;3413;107;3306
2014-03-24;3450;108;3342
2014-03-25;3468;108;3360
2014-03-27;3501;108;3393
2014-03-28;3523;108;3415
2014-03-29;3543;108;3435
2014-03-31;3576;112;3464
2014-04-01;3606;113;3493
2014-04-03;3642;113;3529
2014-04-04;3666;113;3553
2014-04-05;3699;114;3585
2014-04-07;3736;115;3621
2014-04-09;3769;116;3653
2014-04-10;3781;116;3665
2014-04-11;3849;116;3733
2014-04-13;3861;116;3745
2014-04-14;3883;116;3767
2014-04-15;3906;116;3790
2014-04-17;3925;117;3808
2014-04-18;3939;117;3822
2014-04-19;3971;117;3854
2014-04-21;3989;117;3872
2014-04-22;4008;117;3891
2014-04-23;4023;118;3905
2014-04-25;4043;118;3925
2014-04-26;4053;118;3935
2014-04-27;4085;119;3966
2014-04-29;4099;119;3980
2014-04-30;4116;120;3996
2014-05-01;4145;120;4025
2014-05-03;4164;121;4043
2014-05-04;4180;121;4059
2014-05-06;4205;121;4084